,date,areaName,areaCode,newCasesByPublishDate,cumCasesByPublishDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
0,2021-12-29,England,E92000001,138287,10683026,,
1,2021-12-28,England,E92000001,117093,10545584,9.0,128724.0
2,2021-12-27,England,E92000001,98515,10429274,23.0,128715.0
3,2021-12-26,England,E92000001,103558,10332128,11.0,128692.0
4,2021-12-25,England,E92000001,113628,10229538,10.0,128681.0
5,2021-12-24,England,E92000001,105069,10115910,40.0,128671.0
6,2021-12-23,England,E92000001,107055,10011650,75.0,128631.0
7,2021-12-22,England,E92000001,95795,9905451,93.0,128556.0
8,2021-12-21,England,E92000001,80916,9810446,78.0,128463.0
9,2021-12-20,England,E92000001,76065,9731126,89.0,128385.0
10,2021-12-19,England,E92000001,71702,9655061,84.0,128296.0
11,2021-12-18,England,E92000001,82426,9584269,86.0,128212.0
12,2021-12-17,England,E92000001,83693,9503176,103.0,128126.0
13,2021-12-16,England,E92000001,77299,9420017,85.0,128023.0
14,2021-12-15,England,E92000001,68868,9343520,94.0,127938.0
15,2021-12-14,England,E92000001,53093,9275513,107.0,127844.0
16,2021-12-13,England,E92000001,44931,9222932,85.0,127737.0
17,2021-12-12,England,E92000001,40713,9178705,102.0,127652.0
18,2021-12-11,England,E92000001,48540,9138773,75.0,127550.0
19,2021-12-10,England,E92000001,48908,9092016,88.0,127475.0
20,2021-12-09,England,E92000001,43550,9043108,97.0,127387.0
21,2021-12-08,England,E92000001,44019,9000391,92.0,127290.0
22,2021-12-07,England,E92000001,38866,8957091,94.0,127198.0
23,2021-12-06,England,E92000001,41525,8918807,108.0,127104.0
24,2021-12-05,England,E92000001,37396,8877883,91.0,126996.0
25,2021-12-04,England,E92000001,39949,8841194,115.0,126905.0
26,2021-12-03,England,E92000001,43888,8802632,107.0,126790.0
27,2021-12-02,England,E92000001,45880,8758744,83.0,126683.0
28,2021-12-01,England,E92000001,41519,8713738,103.0,126600.0
29,2021-11-30,England,E92000001,33590,8673344,85.0,126497.0
30,2021-11-29,England,E92000001,34906,8639754,105.0,126412.0
31,2021-11-28,England,E92000001,32136,8605284,89.0,126307.0
32,2021-11-27,England,E92000001,35798,8574315,85.0,126218.0
33,2021-11-26,England,E92000001,42272,8538517,107.0,126133.0
34,2021-11-25,England,E92000001,40382,8496990,108.0,126026.0
35,2021-11-24,England,E92000001,36511,8457187,95.0,125918.0
36,2021-11-23,England,E92000001,36550,8421911,120.0,125823.0
37,2021-11-22,England,E92000001,36478,8385361,92.0,125703.0
38,2021-11-21,England,E92000001,33513,8349363,86.0,125611.0
39,2021-11-20,England,E92000001,36339,8316395,98.0,125525.0
40,2021-11-19,England,E92000001,37006,8281117,102.0,125427.0
41,2021-11-18,England,E92000001,39315,8244111,113.0,125325.0
42,2021-11-17,England,E92000001,30638,8205448,98.0,125212.0
43,2021-11-16,England,E92000001,30853,8175202,130.0,125114.0
44,2021-11-15,England,E92000001,31440,8144766,136.0,124984.0
45,2021-11-14,England,E92000001,29404,8113757,100.0,124848.0
46,2021-11-13,England,E92000001,33493,8084740,111.0,124748.0
47,2021-11-12,England,E92000001,33155,8051924,117.0,124637.0
48,2021-11-11,England,E92000001,35472,8020241,121.0,124520.0
49,2021-11-10,England,E92000001,31541,7984769,119.0,124399.0
50,2021-11-09,England,E92000001,27872,7953228,123.0,124280.0
51,2021-11-08,England,E92000001,24979,7925681,126.0,124157.0
52,2021-11-07,England,E92000001,23779,7901039,134.0,124031.0
53,2021-11-06,England,E92000001,26250,7877720,137.0,123897.0
54,2021-11-05,England,E92000001,28490,7852005,124.0,123760.0
55,2021-11-04,England,E92000001,30166,7823979,120.0,123636.0
56,2021-11-03,England,E92000001,34317,7794507,128.0,123516.0
57,2021-11-02,England,E92000001,28531,7760671,127.0,123388.0
58,2021-11-01,England,E92000001,32081,7732441,136.0,123261.0
59,2021-10-31,England,E92000001,31479,7700753,152.0,123125.0
60,2021-10-30,England,E92000001,36204,7669614,131.0,122973.0
61,2021-10-29,England,E92000001,36853,7633950,130.0,122842.0
62,2021-10-28,England,E92000001,33903,7597473,153.0,122712.0
63,2021-10-27,England,E92000001,37502,7564400,132.0,122559.0
64,2021-10-26,England,E92000001,32280,7526898,129.0,122427.0
65,2021-10-25,England,E92000001,33309,7494992,113.0,122298.0
66,2021-10-24,England,E92000001,33221,7462144,120.0,122185.0
67,2021-10-23,England,E92000001,41259,7430143,130.0,122065.0
68,2021-10-22,England,E92000001,41745,7388884,102.0,121935.0
69,2021-10-21,England,E92000001,44363,7347703,110.0,121833.0
70,2021-10-20,England,E92000001,41498,7303864,118.0,121723.0
71,2021-10-19,England,E92000001,36712,7262958,104.0,121605.0
72,2021-10-18,England,E92000001,39473,7226658,95.0,121501.0
73,2021-10-17,England,E92000001,38543,7187635,103.0,121406.0
